id,proper,x,y,z,mag,spect,dist,ra,dec
0,Sol,5e-06,0.0,0.0,-26.74,G2V,0.0,0,0
1,Sirius,-0.493967,2.476563,-0.758408,-1.46,A1V,2.637,6.752,-16.716
2,Canopus,-6.006076,57.288263,-75.602798,-0.74,A9II,95.046,6.399,-52.696
3,Arcturus,-8.819426,-5.929761,3.697153,-0.05,K0III,11.252,14.261,19.182
4,Alpha Centauri A,-0.500805,-0.418961,-1.169981,-0.01,G2V,1.34,14.661,-60.835
5,Vega,0.957875,-5.897791,4.801161,0.03,A0V,7.665,18.615,38.783
6,Capella,1.688844,8.828117,9.306909,0.08,G5III,12.939,5.278,45.998
7,Rigel,51.450609,255.857926,-37.617059,0.13,B8Ia,263.677,5.242,-8.202
8,Procyon,-1.469069,3.175716,0.319978,0.34,F5IV,3.514,7.655,5.225
9,Achernar,20.997394,9.540311,-35.837781,0.46,B6V,42.618,1.629,-57.237
10,Betelgeuse,4.138953,195.151426,25.375695,0.5,M1I,196.838,5.919,7.407
11,Hadar,-50.697891,-30.396168,-103.941482,0.61,B1III,119.574,14.063,-60.373
12,Altair,2.355091,-4.487691,0.790746,0.77,A7V,5.129,19.846,8.868
13,Aldebaran,6.883808,17.918909,5.689299,0.85,K5III,20.021,4.599,16.509
14,Spica,-70.063716,-27.316701,-14.836928,0.97,B1V,76.65,13.42,-11.161
15,Antares,-58.151175,-139.356327,-75.063422,1.06,M1I,168.631,16.49,-26.432
16,Pollux,-4.054339,8.194327,4.866458,1.14,K0III,10.357,7.755,28.026
17,Fomalhaut,6.451633,-1.799508,-3.808336,1.16,A3V,7.705,22.961,-29.622
18,Deneb,365.264227,-429.943623,569.694842,1.25,A2Ia,801.762,20.69,45.28
19,Mimosa,-42.41762,-8.830601,-74.112706,1.3,B0.5III,85.848,12.784,-59.689
20,Regulus,-21.017504,11.135241,5.041354,1.35,B8IV,24.313,10.139,11.967
21,Adhara,-29.180736,111.587336,-63.860181,1.5,B2II,131.838,6.977,-28.972
22,Castor,-5.323848,12.162655,8.260225,1.57,A1V,15.637,7.576,31.888
23,Shaula,-16.019993,-138.45675,-105.427909,1.62,B1.5IV,174.763,17.56,-37.104
24,Bellatrix,11.542761,75.300432,8.477645,1.64,B2III,76.65,5.419,6.35
25,Elnath,5.169336,34.880292,19.231453,1.65,B7III,40.165,5.438,28.608
26,Miaplacidus,-8.808606,7.848181,-31.922405,1.68,A1IV,34.033,9.22,-69.717
27,Alnilam,63.604075,609.758763,-12.863334,1.69,B0Ia,613.202,5.603,-1.202
28,Alnitak,21.091137,250.381524,-8.524214,1.77,O9I,251.413,5.679,-1.943
29,Alioth,-13.517641,-3.245299,20.579183,1.77,A0pCr,24.835,12.9,55.96
30,Kaus Australis,3.730446,-35.226662,-24.24145,1.85,B9.5III,42.924,18.403,-34.385
31,Mirfak,73.268021,90.721026,138.2908,1.79,F5Ib,180.895,3.405,49.861
32,Dubhe,-17.313729,4.339272,33.220395,1.79,K0III,37.712,11.062,61.751
33,Wezen,-145.360891,472.502962,-245.325668,1.84,F8Ia,551.882,7.14,-26.393
34,Alkaid,-18.006804,-9.127471,23.4815,1.86,B3V,30.967,13.792,49.313
35,Sargas,-5.997551,-60.247302,-56.455259,1.87,F1II,82.782,17.621,-42.998
36,Avior,-57.088214,79.666511,-166.446506,1.86,K3III,193.159,8.375,-59.509
37,Menkalinan,0.036813,17.576969,17.54452,1.9,A1IV,24.835,5.992,44.947
38,Atria,-13.948628,-43.353884,-118.809702,1.92,K2IIb,127.239,16.811,-69.027
39,Alhena,-5.247265,31.627641,9.435153,1.93,A1.5IV,33.42,6.628,16.399
40,Peacock,18.271652,-24.764963,-46.914274,1.94,B2.5V,56.108,20.428,-56.735
41,Polaris,1.344723,1.048724,132.74728,1.98,F7I,132.758,2.53,89.264
42,Mirzam,-14.408191,145.120275,-47.260481,1.98,B1II,153.3,6.378,-17.956
